# R1=Unsorted_array R2=Sorted_array R3=Singly_linked_unsorted R4=Singly_linked_sorted R5=Doubly_linked_unsorted R6=Doubly_linked_sorted
# metric=dominant_step_count; experiment targets worst-case configurations
# n R1_Search R1_Insert R1_Delete R1_Maximum R1_Minimum R1_Predecessor R1_Successor R2_Search R2_Insert R2_Delete R2_Maximum R2_Minimum R2_Predecessor R2_Successor R3_Search R3_Insert R3_Delete R3_Maximum R3_Minimum R3_Predecessor R3_Successor R4_Search R4_Insert R4_Delete R4_Maximum R4_Minimum R4_Predecessor R4_Successor R5_Search R5_Insert R5_Delete R5_Maximum R5_Minimum R5_Predecessor R5_Successor R6_Search R6_Insert R6_Delete R6_Maximum R6_Minimum R6_Predecessor R6_Successor
17293 17293 1 1 17292 17292 17293 17293 15 17293 17292 1 1 1 1 17293 1 17292 17292 17292 17293 17293 17293 17292 17292 1 1 17292 1 17293 1 1 17292 17292 17293 17293 17293 17292 1 1 1 1 1
17982 17982 1 1 17981 17981 17982 17982 15 17982 17981 1 1 1 1 17982 1 17981 17981 17981 17982 17982 17982 17981 17981 1 1 17981 1 17982 1 1 17981 17981 17982 17982 17982 17981 1 1 1 1 1
18671 18671 1 1 18670 18670 18671 18671 15 18671 18670 1 1 1 1 18671 1 18670 18670 18670 18671 18671 18671 18670 18670 1 1 18670 1 18671 1 1 18670 18670 18671 18671 18671 18670 1 1 1 1 1
19361 19361 1 1 19360 19360 19361 19361 15 19361 19360 1 1 1 1 19361 1 19360 19360 19360 19361 19361 19361 19360 19360 1 1 19360 1 19361 1 1 19360 19360 19361 19361 19361 19360 1 1 1 1 1
20050 20050 1 1 20049 20049 20050 20050 15 20050 20049 1 1 1 1 20050 1 20049 20049 20049 20050 20050 20050 20049 20049 1 1 20049 1 20050 1 1 20049 20049 20050 20050 20050 20049 1 1 1 1 1
20739 20739 1 1 20738 20738 20739 20739 15 20739 20738 1 1 1 1 20739 1 20738 20738 20738 20739 20739 20739 20738 20738 1 1 20738 1 20739 1 1 20738 20738 20739 20739 20739 20738 1 1 1 1 1
21428 21428 1 1 21427 21427 21428 21428 15 21428 21427 1 1 1 1 21428 1 21427 21427 21427 21428 21428 21428 21427 21427 1 1 21427 1 21428 1 1 21427 21427 21428 21428 21428 21427 1 1 1 1 1
22117 22117 1 1 22116 22116 22117 22117 15 22117 22116 1 1 1 1 22117 1 22116 22116 22116 22117 22117 22117 22116 22116 1 1 22116 1 22117 1 1 22116 22116 22117 22117 22117 22116 1 1 1 1 1
22806 22806 1 1 22805 22805 22806 22806 15 22806 22805 1 1 1 1 22806 1 22805 22805 22805 22806 22806 22806 22805 22805 1 1 22805 1 22806 1 1 22805 22805 22806 22806 22806 22805 1 1 1 1 1
23496 23496 1 1 23495 23495 23496 23496 15 23496 23495 1 1 1 1 23496 1 23495 23495 23495 23496 23496 23496 23495 23495 1 1 23495 1 23496 1 1 23495 23495 23496 23496 23496 23495 1 1 1 1 1
24185 24185 1 1 24184 24184 24185 24185 15 24185 24184 1 1 1 1 24185 1 24184 24184 24184 24185 24185 24185 24184 24184 1 1 24184 1 24185 1 1 24184 24184 24185 24185 24185 24184 1 1 1 1 1
24874 24874 1 1 24873 24873 24874 24874 15 24874 24873 1 1 1 1 24874 1 24873 24873 24873 24874 24874 24874 24873 24873 1 1 24873 1 24874 1 1 24873 24873 24874 24874 24874 24873 1 1 1 1 1
25563 25563 1 1 25562 25562 25563 25563 15 25563 25562 1 1 1 1 25563 1 25562 25562 25562 25563 25563 25563 25562 25562 1 1 25562 1 25563 1 1 25562 25562 25563 25563 25563 25562 1 1 1 1 1
26252 26252 1 1 26251 26251 26252 26252 15 26252 26251 1 1 1 1 26252 1 26251 26251 26251 26252 26252 26252 26251 26251 1 1 26251 1 26252 1 1 26251 26251 26252 26252 26252 26251 1 1 1 1 1
26941 26941 1 1 26940 26940 26941 26941 15 26941 26940 1 1 1 1 26941 1 26940 26940 26940 26941 26941 26941 26940 26940 1 1 26940 1 26941 1 1 26940 26940 26941 26941 26941 26940 1 1 1 1 1
27631 27631 1 1 27630 27630 27631 27631 15 27631 27630 1 1 1 1 27631 1 27630 27630 27630 27631 27631 27631 27630 27630 1 1 27630 1 27631 1 1 27630 27630 27631 27631 27631 27630 1 1 1 1 1
28320 28320 1 1 28319 28319 28320 28320 15 28320 28319 1 1 1 1 28320 1 28319 28319 28319 28320 28320 28320 28319 28319 1 1 28319 1 28320 1 1 28319 28319 28320 28320 28320 28319 1 1 1 1 1
29009 29009 1 1 29008 29008 29009 29009 15 29009 29008 1 1 1 1 29009 1 29008 29008 29008 29009 29009 29009 29008 29008 1 1 29008 1 29009 1 1 29008 29008 29009 29009 29009 29008 1 1 1 1 1
29698 29698 1 1 29697 29697 29698 29698 15 29698 29697 1 1 1 1 29698 1 29697 29697 29697 29698 29698 29698 29697 29697 1 1 29697 1 29698 1 1 29697 29697 29698 29698 29698 29697 1 1 1 1 1
30387 30387 1 1 30386 30386 30387 30387 15 30387 30386 1 1 1 1 30387 1 30386 30386 30386 30387 30387 30387 30386 30386 1 1 30386 1 30387 1 1 30386 30386 30387 30387 30387 30386 1 1 1 1 1
31077 31077 1 1 31076 31076 31077 31077 15 31077 31076 1 1 1 1 31077 1 31076 31076 31076 31077 31077 31077 31076 31076 1 1 31076 1 31077 1 1 31076 31076 31077 31077 31077 31076 1 1 1 1 1
31766 31766 1 1 31765 31765 31766 31766 15 31766 31765 1 1 1 1 31766 1 31765 31765 31765 31766 31766 31766 31765 31765 1 1 31765 1 31766 1 1 31765 31765 31766 31766 31766 31765 1 1 1 1 1
32455 32455 1 1 32454 32454 32455 32455 15 32455 32454 1 1 1 1 32455 1 32454 32454 32454 32455 32455 32455 32454 32454 1 1 32454 1 32455 1 1 32454 32454 32455 32455 32455 32454 1 1 1 1 1
33144 33144 1 1 33143 33143 33144 33144 16 33144 33143 1 1 1 1 33144 1 33143 33143 33143 33144 33144 33144 33143 33143 1 1 33143 1 33144 1 1 33143 33143 33144 33144 33144 33143 1 1 1 1 1
33833 33833 1 1 33832 33832 33833 33833 16 33833 33832 1 1 1 1 33833 1 33832 33832 33832 33833 33833 33833 33832 33832 1 1 33832 1 33833 1 1 33832 33832 33833 33833 33833 33832 1 1 1 1 1
34522 34522 1 1 34521 34521 34522 34522 16 34522 34521 1 1 1 1 34522 1 34521 34521 34521 34522 34522 34522 34521 34521 1 1 34521 1 34522 1 1 34521 34521 34522 34522 34522 34521 1 1 1 1 1
35212 35212 1 1 35211 35211 35212 35212 16 35212 35211 1 1 1 1 35212 1 35211 35211 35211 35212 35212 35212 35211 35211 1 1 35211 1 35212 1 1 35211 35211 35212 35212 35212 35211 1 1 1 1 1
35901 35901 1 1 35900 35900 35901 35901 16 35901 35900 1 1 1 1 35901 1 35900 35900 35900 35901 35901 35901 35900 35900 1 1 35900 1 35901 1 1 35900 35900 35901 35901 35901 35900 1 1 1 1 1
36590 36590 1 1 36589 36589 36590 36590 16 36590 36589 1 1 1 1 36590 1 36589 36589 36589 36590 36590 36590 36589 36589 1 1 36589 1 36590 1 1 36589 36589 36590 36590 36590 36589 1 1 1 1 1
37279 37279 1 1 37278 37278 37279 37279 16 37279 37278 1 1 1 1 37279 1 37278 37278 37278 37279 37279 37279 37278 37278 1 1 37278 1 37279 1 1 37278 37278 37279 37279 37279 37278 1 1 1 1 1
37968 37968 1 1 37967 37967 37968 37968 16 37968 37967 1 1 1 1 37968 1 37967 37967 37967 37968 37968 37968 37967 37967 1 1 37967 1 37968 1 1 37967 37967 37968 37968 37968 37967 1 1 1 1 1
38658 38658 1 1 38657 38657 38658 38658 16 38658 38657 1 1 1 1 38658 1 38657 38657 38657 38658 38658 38658 38657 38657 1 1 38657 1 38658 1 1 38657 38657 38658 38658 38658 38657 1 1 1 1 1
